Business Date,Sedol,ISIN,FIGI,Ticker,BBGID,Name,Offer Rate,Bid Rate,Last Rate,Short Momentum,Short Interest,ShortInterestNotional,ShortInterestPct,S3Float,S3SIPctFloat,IndicativeAvailability,S3Utilization,DaysToCover10Day,DaysToCover30Day,DaysToCover90Day,Crowded Score,Squeeze Score,Original SI
4/9/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.81,0.48,0.6,-0.24,8360522.3,583648061.76,0.0893,102001066.3,0.082,5.62E+06,59.8236,4.82317604761954,3.12438237509977,2.35545822210639,42.5,42.5,6614281
4/12/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.81,0.53,0.3,0,8445544.5,597184451.6,0.0902,102086088.5,0.0827,5.11E+06,62.3165,5.22608038919876,3.33923028290886,2.40743159999931,42.5,32.5,6806919
4/13/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.94,0.6,0.3,3.21,8561943.7,581612835.54,0.0914,102202487.7,0.0838,5.84E+06,59.4334,5.16491005082903,3.4170399347717,2.45919586466348,42.5,32.5,7745249
4/14/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.69,0.45,0.74,-5.32,8710063.7,610662566.01,0.093,102350607.7,0.0851,6.37E+06,57.7893,5.09771248409537,3.49610241618647,2.51324528286642,40,30,7539288
4/15/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.69,0.44,0.62,0,8813950.8,605782838.48,0.0941,102454494.8,0.086,6.22E+06,58.6256,5.38353523230139,3.64473999138225,2.56584461561168,40,20,7508956
4/16/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.69,0.4,0.69,0,8858207,608293074.69,0.0946,102498751,0.0864,5.94E+06,59.8849,5.79017732248795,3.92612210761081,2.60494357214757,40,30,7577590
4/19/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.69,0.39,0.67,0,8825288.4,615299107.25,0.0942,102465832.4,0.0861,5.86E+06,60.0934,5.90200280344331,4.17660543229648,2.61998031145426,42.5,32.5,7601279
4/20/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.69,0.45,0.59,0,8769394.4,578955418.29,0.0936,102409938.4,0.0856,5.62E+06,60.9688,5.56909996621475,4.38807162708122,2.62012454368739,42.5,22.5,7634170
4/21/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.69,0.45,0.65,0,8716353.2,566562958,0.0931,102356897.2,0.0852,5.82E+06,59.9918,5.55441764137988,4.50557420740825,2.62171744409149,42.5,32.5,7558132
4/22/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.69,0.39,0.61,0,8696302.9,587435260.9,0.0929,102336846.9,0.085,5.50E+06,61.2557,5.57864414673324,4.70200303975854,2.64096940487633,42.5,32.5,7791414
4/23/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.69,0.44,0.6,0,8652979.9,593767480.74,0.0924,102293523.9,0.0846,5.71E+06,60.236,5.47409235693973,4.74886074823954,2.65095022984861,42.5,32.5,7729532
4/26/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.69,0.4,0.48,0,8570212.4,635224143.09,0.0915,102210756.4,0.0838,5.86E+06,59.3837,4.92031378997153,4.66480246112579,2.63230374005155,42.5,52.5,7651752
